Город,"Республика, область, край",2017 год,2018 год,2019 год
БЕЛГОРОД,Белгородская обл.,Н,Н,Н
БРЯНСК,Брянская обл.,Н,Н,Н
ВЛАДИМИР,Владимирская обл.,Н,Н,Н
ВОЛГОРЕЧЕНСК,Костромская обл.,Н,Н,Н
ВОРОНЕЖ,Воронежская обл.,В,В,П
ВОСКРЕСЕНСК,Московская обл.,Н,Н,Н
ГУБКИН,Белгородская обл.,Н,Н,Н
ДЗЕРЖИНСКИЙ,Московская обл.,Н,Н,Н
ИВАНОВО,Ивановская обл.,П,П,П
КАЛУГА,Калужская обл.,Н,П,П
КЛИН,Московская обл.,Н,Н,Н
КОЛОМНА,Московская обл.,Н,Н,Н
КОСТРОМА,Костромская обл.,Н,Н,Н
КУРСК,Курская обл.,В,В,Н
ЛИПЕЦК,Липецкая обл.,П,Н,Н
МОСКВА,,Н,П,П
МЫТИЩИ,Московская обл.,Н,Н,Н
НОВОМОСКОВСК,Тульская обл.,Н,Н,Н
ОРЕЛ,Орловская обл.,Н,Н,Н
ПЕРЕСЛАВЛЬ-ЗАЛЕССКИЙ,Ярославская обл.,Н,Н,Н
ПОДОЛЬСК,Московская обл.,Н,Н,Н
ПРИВОЛЖСК,Ивановская обл.,Н,Н,Н
ПРИОКСКО-ТЕРРАСНЫЙ ЗАПОВЕДНИК,Московская обл.,не установлена,не установлена,не установлена
РЫБИНСК,Ярославская обл.,Н,Н,Н
РЯЗАНЬ,Рязанская обл.,В,П,П
СЕРПУХОВ,Московская обл.,П,Н,Н
СМОЛЕНСК,Смоленская обл.,Н,Н,Н
СТАРЫЙ ОСКОЛ,Белгородская обл.,Н,Н,Н
ТАМБОВ,Тамбовская обл.,Н,Н,Н
ТВЕРЬ,Тверская обл.,Н,Н,Н
ТУЛА,Тульская обл.,Н,Н,Н
ЩЕЛКОВО,Московская обл.,Н,Н,Н
ЭЛЕКТРОСТАЛЬ,Московская обл.,Н,Н,Н
ЯРОСЛАВЛЬ,Ярославская обл.,Н,Н,Н
ЯСНАЯ ПОЛЯНА,Тульская обл.,Н,Н,Н
АПАТИТЫ,Мурманская обл.,Н,Н,Н
АРХАНГЕЛЬСК,Архангельская обл.,Н,П,П
БОРОВИЧИ,Новгородская обл.,не установлена,не установлена,Н
ВЕЛИКИЕ ЛУКИ,Псковская обл.,не установлена,не установлена,не установлена
ВЕЛИКИЙ НОВГОРОД,Новгородская обл.,В,Н,Н
ВОЕЙКОВО,Ленинградская обл.,не установлена,-,-
ВОЛОГДА,Вологодская обл.,Н,Н,Н
ВОЛОСОВО,Ленинградская обл.,не установлена,не установлена,не установлена
ВОЛХОВ,Ленинградская обл.,не установлена,не установлена,не установлена
ВОРКУТА,Республика Коми,Н,Н,Н
ВЫБОРГ,Ленинградская обл.,Н,Н,Н
ЗАПОЛЯРНЫЙ,Мурманская обл.,Н,Н,Н
КАЛИНИНГРАД,Калининградская обл.,Н,Н,Н
КАНДАЛАКША,Мурманская обл.,Н,Н,Н
КИНГИСЕПП,Ленинградская обл.,Н,Н,Н
КИРИШИ,Ленинградская обл.,Н,Н,Н
КИРОВСК,Мурманская обл.,не установлена,не установлена,не установлена
КОЛА,Мурманская обл.,не установлена,не установлена,не установлена
КОНДОПОГА,Республика Карелия,не установлена,не установлена,не установлена
КОРЯЖМА,Архангельская обл.,Н,Н,Н
ЛУГА,Ленинградская обл.,Н,Н,Н
МОНЧЕГОРСК,Мурманская обл.,Н,Н,Н
МУРМАНСК,Мурманская обл.,Н,Н,Н
НАДВОИЦЫ,Республика Карелия,Н,Н,Н
НИКЕЛЬ,Мурманская обл.,П,Н,П
НОВОДВИНСК,Архангельская обл.,Н,Н,П
ОЛЕНЕГОРСК,Мурманская обл.,Н,Н,Н
ПЕТРОЗАВОДСК,Республика Карелия,Н,Н,Н
ПСКОВ,Псковская обл.,Н,Н,Н
САНКТ-ПЕТЕРБУРГ,,П,Н,Н
СВЕТОГОРСК,Ленинградская обл.,не установлена,не установлена,не установлена
СЕВЕРОДВИНСК,Архангельская обл.,Н,Н,Н
