,number,city,sqr_km
0,1,Москва,2551.9
1,2,Санкт-Петербург,1439.0
2,3,Волгоград,859.353
3,4,Пермь,801.44
4,5,Уфа,700.0
5,6,Тюмень,698.0
6,7,Орск,621.33
7,8,Казань,614.16
8,9,Воронеж,596.51
9,10,Омск,566.9
10,11,Самара,541.382
11,12,Чита,534.0
12,13,Новосибирск,506.67
13,14,Челябинск,501.57
14,15,Махачкала,468.13
15,16,Екатеринбург,468.0
16,17,Новокузнецк,424.27
17,18,Дзержинск,421.53
18,19,Нижний Новгород,410.68
19,20,Саратов,393.975
20,21,Курган,393.03
21,22,Магнитогорск,392.35
22,23,Хабаровск,388.735
23,24,Улан-Удэ,377.12
24,25,Петропавловск-Камчатский,362.14
25,26,Сургут,353.976
26,27,Красноярск,353.9
27,28,Ростов-на-Дону,348.5
28,29,Краснодар,339.31
29,30,Ханты-Мансийск,337.76
30,31,Междуреченск,332.56
31,32,Владивосток,331.16
32,33,Липецк,330.15
33,34,Комсомольск-на-Амуре,325.1
34,35,Грозный,324.16
35,36,Барнаул,322.01
36,37,Благовещенск,320.97
37,38,Ижевск,315.6
38,39,Тольятти,314.79
39,40,Пенза,305.1
40,41,Ульяновск,300.0
41,42,Нижний Тагил,298.47
42,43,Томск,297.2
43,44,Магадан,295.0
44,45,Кемерово,294.8
45,46,Архангельск,294.42
46,47,Ангарск,294.0
47,48,Бийск,291.67
48,49,Владикавказ,290.61
49,50,Иркутск,277.35
50,51,Лесосибирск,277.0
51,52,Ставрополь,276.689
52,53,Нижневартовск,271.319
53,54,Братск,262.94
54,55,Оренбург,259.0
55,56,Новоульяновск,253.67
56,57,Тобольск,239.309
57,58,Копейск,236.71
58,59,Волжский,229.12
59,60,Рязань,224.163
60,61,Калининград,223.0
61,62,Белово,219.34
62,63,Прокопьевск,216.72
63,64,Астрахань,208.69
64,65,Курск,208.2
65,66,Усть-Илимск,206.285
66,67,Ярославль,205.8
67,68,Старый Оскол,200.8
68,69,Чапаевск,200.5
69,70,Смоленск,200.0
70,71,Златоуст,190.4
71,72,Брянск,186.43
72,73,Севастополь,183.0
73,74,Сочи,176.77
74,75,Шадринск,173.66
75,76,Уссурийск,172.88
76,77,Киров,169.73
77,78,Кумертау,169.6
78,79,Биробиджан,169.38
79,80,Калуга,169.1
80,81,Волгодонск,168.82
81,82,Соликамск,166.55
82,83,Южно-Сахалинск,164.66
83,84,Набережные Челны,161.0
84,85,Выборг,160.847
85,86,Красноармейск,160.7
86,87,Белгород,160.6
87,88,Каменск-Шахтинский,159.99
88,89,Домодедово,159.43
89,90,Шахты,159.08
90,91,Мурманск,154.6
91,92,Сибай,154.31
92,93,Нефтеюганск,153.79
93,94,Тула,153.52
94,95,Тверь,152.22
95,96,Сыктывкар,152.0
96,97,Нефтекамск,147.25
97,98,Кострома,144.5
98,99,Каменск-Уральский,142.0
99,100,Троицк,139.15
100,101,Новошахтинск,138.09
101,102,Владимир,137.014
102,103,Новочеркасск,127.94
103,104,Находка,127.0
104,105,Череповец,120.94
105,106,Северодвинск,120.51
106,107,Орёл,120.0
107,108,Якутск,120.0
108,109,Камышин,117.97
109,110,Сызрань,117.0
110,111,Нижнекамск,116.0
111,112,Вологда,115.73
112,113,Альметьевск,114.98
113,114,Энгельс,113.772
114,115,Петрозаводск,113.0
115,116,Абакан,112.38
116,117,Воткинск,112.18
117,118,Железногорск,112.03
118,119,Донецк,110.34
119,120,Химки,110.2
120,121,Чебоксары,110.0
121,122,Мыски,108.7
122,123,Стерлитамак,108.52
123,124,Керчь,108.0
124,125,Симферополь,107.41
125,126,Салават,106.23
126,127,Иваново,104.5
127,128,Димитровград,103.97
128,129,Пятигорск,103.73
129,130,Ишимбай,103.47
130,131,Рыбинск,101.42
131,132,Йошкар-Ола,100.39
132,133,Великий Новгород,90.08
133,134,Норильск,23.16
134,135,Орел,120.0
135,136,Петропавловск,224.9
136,137,Псков,95.6
