,city,habbit_rate
0,Брянск,"99,2"
1,Волгоград,"81,4"
2,Саратов,"79,8"
3,Смоленск,79
4,Ставрополь,79
5,Краснодар,"77,9"
6,Белгород,"76,7"
7,Чита,"76,1"
8,Нижний Новгород,"75,3"
9,Ульяновск,"73,6"
10,Севастополь,"70,7"
11,Ростов-на-Дону,70
12,Пенза,"69,3"
13,Красноярск,67
14,Великий Новгород,"66,9"
15,Липецк,"66,3"
16,Симферополь,"65,2"
17,Владимир,"64,2"
18,Тула,"63,9"
19,Воронеж,"62,7"
20,Псков,"62,4"
21,Тверь,"60,7"
22,Петрозаводск,"58,3"
23,Омск,"57,4"
24,Иркутск,"56,4"
25,Вологда,"55,6"
26,Архангельск,"55,5"
27,Новосибирск,"54,8"
28,Москва,"54,4"
29,Екатеринбург,"53,1"
30,Томск,53
31,Владивосток,"50,5"
32,Астрахань,"50,2"
33,Кемерово,"50,1"
34,Калининград,"49,2"
35,Самара,"47,9"
36,Ярославль,"47,6"
37,Курск,"46,6"
38,Санкт-Петербург,"46,2"
39,Пермь,"45,9"
40,Челябинск,"45,8"
41,Киров,"43,1"
42,Уфа,"40,1"
43,Сыктывкар,"36,5"
44,Мурманск,"36,1"
45,Биробиджан,"28,9"
46,Улан-Удэ,"25,4"
47,Южно-Сахалинск,"18,1"
48,Магадан,15
