,2017 год,2018 год,2019 год,city,sqr_km,habbit_rate,perc_more_100k,percent_less_15k,most_common
0,ОВ,ОВ,В,Красноярск,353.9,67,"2,5","15,2",19–42
1,Н,Н,Н,Уфа,700.0,"40,1",8,7,26–60
2,Н,Н,Н,Владимир,137.014,"64,2","1,6","13,8",19–39
3,В,В,Н,Курск,208.2,"46,6",9,"3,6",25–62
4,Н,Н,Н,Белгород,160.6,"76,7","1,2","21,3",16–36
5,Н,П,П,Москва,2551.9,"54,4","31,6","1,2",46–125
6,В,В,В,Ростов-на-Дону,348.5,70,"2,3","16,9",19–40
7,П,Н,Н,Липецк,330.15,"66,3","2,3",14,20–42
8,П,В,П,Биробиджан,169.38,"28,9","3,7","3,6",23–53
9,Н,Н,Н,Омск,566.9,"57,4","2,7","15,4",19–41
10,Н,Н,Н,Сыктывкар,152.0,"36,5",10,"1,7",28–67
11,Н,Н,Н,Мурманск,154.6,"36,1",13,"0,5",32–70
12,П,П,В,Владивосток,331.16,"50,5","6,8","2,7",26–60
13,Н,Н,Н,Калининград,223.0,"49,2",3,"10,8",21–44
14,В,Н,Н,Великий Новгород,90.08,"66,9",2,"13,2",20–40
15,П,В,В,Астрахань,208.69,"50,2","1,1",17,18–37
16,П,В,П,Новосибирск,506.67,"54,8","3,9","9,3",22–47
17,Н,Н,Н,Симферополь,107.41,"65,2","1,8","15,6",19–38
18,Н,Н,Н,Псков,95.6,"62,4","1,1","18,4",17–35
19,П,Н,Н,Пермь,801.44,"45,9","3,1","10,1",22–46
20,П,Н,Н,Томск,297.2,53,"6,3","3,9",25–55
21,В,В,В,Кемерово,294.8,"50,1","3,8","8,5",22–49
22,Н,Н,Н,Киров,169.73,"43,1","18,9","1,3",38–89
23,ОВ,ОВ,ОВ,Чита,534.0,"76,1","2,9","10,2",22–45
24,ОВ,ОВ,ОВ,Улан-Удэ,377.12,"25,4","3,4","4,6",21–48
25,В,В,П,Воронеж,596.51,"62,7","1,3","19,4",16–35
26,Н,Н,Н,Ярославль,205.8,"47,6","2,1","13,4",20–42
27,Н,Н,Н,Тверь,152.22,"60,7","2,3",17,19–42
28,Н,Н,Н,Пенза,305.1,"69,3","1,4","16,9",18–37
29,Н,Н,Н,Магадан,295.0,15,"27,3","0,3",47–113
30,П,П,П,Саратов,393.975,"79,8","1,8","20,5",17–37
31,Н,П,П,Архангельск,294.42,"55,5","7,5","2,3",26–59
32,Н,Н,Н,Вологда,115.73,"55,6","3,6",9,22–49
33,Н,Н,Н,Смоленск,200.0,79,"1,6","20,1",17–37
34,В,П,П,Челябинск,501.57,"45,8","2,5","12,5",20–44
35,Н,П,П,Самара,541.382,"47,9",6,"6,2",27–56
36,П,П,Н,Екатеринбург,468.0,"53,1","3,9","9,2",23–47
37,Н,Н,Н,Ставрополь,276.689,79,"1,7","18,6",17–37
38,Н,Н,Н,Петрозаводск,113.0,"58,3","4,6","1,9",25–51
39,Н,Н,Н,Брянск,186.43,"99,2","1,2","29,1",14–31
40,П,Н,Н,Санкт-Петербург,1439.0,"46,2","13,5","2,2",35–76
41,Н,Н,Н,Тула,153.52,"63,9","2,9","10,4",22–44
42,Н,Н,Н,Севастополь,183.0,"70,7","2,3","12,6",21–42
43,Н,Н,Н,Волгоград,859.353,"81,4","1,6","16,3",18–39
44,Н,Н,П,Ульяновск,300.0,"73,6","1,6",17,18–36
45,Н,Н,Н,Нижний Новгород,410.68,"75,3","3,5",12,21–45
46,ОВ,ОВ,ОВ,Иркутск,277.35,"56,4",6,"2,1",26–57
47,П,П,П,Краснодар,339.31,"77,9","2,6","13,3",20–43
48,В,В,ОВ,Южно-Сахалинск,164.66,"18,1","21,9","0,4",42–94
