,city,perc_more_100k,percent_less_15k,most_common
0,Москва,"31,6","1,2",46–125
1,Магадан,"27,3","0,3",47–113
2,Южно-Сахалинск,"21,9","0,4",42–94
3,Киров,"18,9","1,3",38–89
4,Санкт-Петербург,"13,5","2,2",35–76
5,Мурманск,13,"0,5",32–70
6,Сыктывкар,10,"1,7",28–67
7,Курск,9,"3,6",25–62
8,Уфа,8,7,26–60
9,Архангельск,"7,5","2,3",26–59
10,Владивосток,"6,8","2,7",26–60
11,Томск,"6,3","3,9",25–55
12,Иркутск,6,"2,1",26–57
13,Самара,6,"6,2",27–56
14,Петрозаводск,"4,6","1,9",25–51
15,Новосибирск,"3,9","9,3",22–47
16,Екатеринбург,"3,9","9,2",23–47
17,Кемерово,"3,8","8,5",22–49
18,Биробиджан,"3,7","3,6",23–53
19,Вологда,"3,6",9,22–49
20,Нижний Новгород,"3,5",12,21–45
21,Улан-Удэ,"3,4","4,6",21–48
22,Пермь,"3,1","10,1",22–46
23,Калининград,3,"10,8",21–44
24,Чита,"2,9","10,2",22–45
25,Тула,"2,9","10,4",22–44
26,Омск,"2,7","15,4",19–41
27,Краснодар,"2,6","13,3",20–43
28,Челябинск,"2,5","12,5",20–44
29,Красноярск,"2,5","15,2",19–42
30,Севастополь,"2,3","12,6",21–42
31,Липецк,"2,3",14,20–42
32,Ростов-на-Дону,"2,3","16,9",19–40
33,Тверь,"2,3",17,19–42
34,Ярославль,"2,1","13,4",20–42
35,Великий Новгород,2,"13,2",20–40
36,Симферополь,"1,8","15,6",19–38
37,Саратов,"1,8","20,5",17–37
38,Ставрополь,"1,7","18,6",17–37
39,Ульяновск,"1,6",17,18–36
40,Волгоград,"1,6","16,3",18–39
41,Смоленск,"1,6","20,1",17–37
42,Владимир,"1,6","13,8",19–39
43,Пенза,"1,4","16,9",18–37
44,Воронеж,"1,3","19,4",16–35
45,Белгород,"1,2","21,3",16–36
46,Брянск,"1,2","29,1",14–31
47,Астрахань,"1,1",17,18–37
48,Псков,"1,1","18,4",17–35
