,city,num_pediators,num_pediators_100k_peaple
0,Белгород,350,15.34
1,Владимир,374,14.82
2,Липецк,264,12.19
3,Смоленск,336,20.48
4,Тверь,407,17.14
5,Тула,332,13.48
6,Ярославль,539,22.47
7,Петрозаводск,209,16.54
8,Сыктывкар,324,17.22
9,Вологда,326,13.05
10,Калининград,261,13.5
11,Самара,425,13.82
12,Мурманск,232,14.93
13,Великий Новгород,166,14.11
14,Псков,140,12.03
15,Симферополь,540,14.37
16,Краснодар,1653,14.3
17,Волгоград,819,17.06
18,Ростов-на-Дону,1178,14.88
19,Брянск,1100,12.41
20,Владикавказ,333,20.32
21,Ставрополь,753,12.91
22,Чита,1250,15.12
23,Ижевск,688,20.11
24,Чебоксары,420,16.2
25,Петропавловск,1162,19.84
26,Астрахань,437,17.19
27,Нижний Новгород,984,16.37
28,Оренбург,701,16.04
29,Пенза,395,16.86
30,Саратов,720,15.78
31,Ульяновск,379,16.76
32,Екатеринбург,1099,11.95
33,Челябинск,996,13.41
34,Орел,724,14.66
35,Норильск,1024,16.39
36,Хабаровск,828,14.42
37,Кемерово,829,14.24
38,Новосибирск,1092,19.23
39,Омск,708,16.99
40,Томск,456,20.15
41,Улан-Удэ,300,11.42
42,Якутск,454,17.18
43,Владивосток,616,16.45
44,Магадан,65,21.57
45,Южно-Сахалинск,192,18.34
46,Биробиджан,50,13.4
