popsition,region,rating,2018 position
1,Чеченская Республика,100,1
2,Республика Дагестан,"99,2",2
3,Республика Ингушетия,"87,1",4
4,Кабардино-Балкарская Республика,"86,6",3
5,Тамбовская область,"83,2",9
6,Волгоградская область,"81,4",6
7,Орловская область,"80,6",12
8,Саратовская область,"79,8",5
9,Смоленская область,79,7
10,Ставропольский край,79,8
11,Краснодарский край,"77,9",15
12,Республика Адыгея,"77,8",18
13,Брянская область,"76,7",13
14,Республика Татарстан,"76,1",11
15,Республика Северная Осетия — Алания,"76,1",10
16,Республика Калмыкия,"75,9",24
17,Нижегородская область,"75,3",17
18,Чувашская Республика,"73,6",14
19,Ульяновская область,"73,6",19
20,Карачаево-Черкесская Республика,"73,6",20
21,Республика Марий Эл,"73,6",27
22,Рязанская область,"71,3",21
23,Республика Мордовия,"70,7",23
24,Севастополь,"70,7",25
25,Ростовская область,70,33
26,Пензенская область,"69,3",16
27,Самарская область,"68,4",22
28,Республика Башкортостан,"67,3",42
29,Оренбургская область,67,35
30,Новгородская область,"66,9",26
31,Липецкая область,"66,3",31
32,Ивановская область,"66,3",28
33,Республика Крым,"65,2",30
34,Владимирская область,"64,2",32
35,Тульская область,"63,9",36
36,Алтайский край,"62,7",37
37,Псковская область,"62,4",29
38,Белгородская область,"62,1",34
39,Тверская область,"60,7",39
40,Курская область,59,41
41,Астраханская область,"58,6",52
42,Республика Карелия,"58,3",43
43,Омская область,"57,4",38
44,Иркутская область,"56,4",45
45,Хабаровский край,"56,1",44
46,Вологодская область,"55,6",56
47,Архангельская область,"55,5",46
48,Новосибирская область,"54,8",47
49,Москва,"54,4",57
50,Московская область,"54,1",48
51,Свердловская область,"53,1",59
52,Томская область,53,40
53,Калужская область,"52,1",51
54,Приморский край,"50,5",65
55,Кировская область,"50,2",58
56,Кемеровская область,"50,1",60
57,Калининградская область,"49,2",55
58,Ленинградская область,"47,9",49
59,Республика Алтай,"47,6",50
60,Ярославская область,"47,6",61
61,Республика Тыва,"47,2",53
62,Красноярский край,"46,6",62
63,Санкт-Петербург,"46,2",70
64,Пермский край,"45,9",63
65,Челябинская область,"45,8",54
66,Воронежская область,"44,9",67
67,Республика Саха (Якутия),"43,1",66
68,Костромская область,"42,3",72
69,Курганская область,"40,8",75
70,Тюменская область,"40,1",64
71,Ханты-Мансийский автономный округ — Югра,"38,7",74
72,Ненецкий автономный округ,"36,7",79
73,Республика Коми,"36,5",69
74,Мурманская область,"36,1",73
75,Чукотский автономный округ,"35,1",71
76,Ямало-Ненецкий автономный округ,"32,8",77
77,Удмуртская Республика,"32,1",68
78,Камчатский край,29,76
79,Еврейская автономная область,"28,9",80
80,Забайкальский край,"28,5",81
81,Амурская область,"26,6",78
82,Республика Бурятия,"25,4",82
83,Республика Хакасия,"18,8",83
84,Сахалинская область,"18,1",84
85,Магаданская область,15,85
