place,region,perc_more_100k,percent_less_15k,most_common
1,Чукотский автономный округ,"40,5","0,6",59–147
2,Ямало-Ненецкий автономный округ,35,"0,6",53–142
3,Москва,"31,6","1,2",46–125
4,Магаданская область,"27,3","0,3",47–113
5,Ненецкий автономный округ,"25,8",2,45–105
6,Сахалинская область,"21,9","0,4",42–94
7,Республика Саха (Якутия),"18,9","1,3",38–89
8,Ханты-Мансийский автономный округ — Югра,"18,4","0,6",41–91
9,Камчатский край,"18,4","0,2",44–89
10,Санкт-Петербург,"13,5","2,2",35–76
11,Мурманская область,13,"0,5",32–70
12,Республика Коми,10,"1,7",28–67
13,Красноярский край,9,"3,6",25–62
14,Московская область,"8,4","5,9",29–63
15,Хабаровский край,8,"1,8",29–65
16,Тюменская область,8,7,26–60
17,Архангельская область,"7,5","2,3",26–59
18,Амурская область,"7,4","2,6",28–63
19,Приморский край,"6,8","2,7",26–60
20,Томская область,"6,3","3,9",25–55
21,Иркутская область,6,"2,1",26–57
22,Ленинградская область,6,"6,2",27–56
23,Республика Карелия,"4,6","1,9",25–51
24,Забайкальский край,"4,5","4,2",22–53
25,Республика Хакасия,"4,2","5,1",21–48
26,Новосибирская область,"3,9","9,3",22–47
27,Свердловская область,"3,9","9,2",23–47
28,Кемеровская область,"3,8","8,5",22–49
29,Еврейская автономная область,"3,7","3,6",23–53
30,Калужская область,"3,6","9,5",23–48
31,Вологодская область,"3,6",9,22–49
32,Нижегородская область,"3,5",12,21–45
33,Астраханская область,"3,5","18,9",17–43
34,Республика Бурятия,"3,4","4,6",21–48
35,Республика Тыва,"3,3","3,4",24–41
36,Республика Башкортостан,"3,2","11,1",20–44
37,Пермский край,"3,1","10,1",22–46
38,Калининградская область,3,"10,8",21–44
39,Республика Татарстан,"2,9","10,2",22–45
40,Тульская область,"2,9","10,4",22–44
41,Самарская область,"2,7","12,5",21–44
42,Омская область,"2,7","15,4",19–41
43,Краснодарский край,"2,6","13,3",20–43
44,Воронежская область,"2,5","13,8",19–41
45,Челябинская область,"2,5","12,5",20–44
46,Оренбургская область,"2,5","15,2",19–42
47,Севастополь,"2,3","12,6",21–42
48,Липецкая область,"2,3",14,20–42
49,Ростовская область,"2,3","16,9",19–40
50,Тверская область,"2,3",17,19–42
51,Ярославская область,"2,1","13,4",20–42
52,Республика Алтай,"2,1","7,1",20–38
53,Новгородская область,2,"13,2",20–40
54,Республика Северная Осетия — Алания,2,26,15–33
55,Рязанская область,"1,9","13,4",20–42
56,Республика Крым,"1,8","15,6",19–38
57,Саратовская область,"1,8","20,5",17–37
58,Ставропольский край,"1,7","18,6",17–37
59,Белгородская область,"1,7","11,1",21–40
60,Удмуртская Республика,"1,7","13,2",20–40
61,Ульяновская область,"1,6",17,18–36
62,Волгоградская область,"1,6","16,3",18–39
63,Смоленская область,"1,6","20,1",17–37
64,Владимирская область,"1,6","13,8",19–39
65,Костромская область,"1,6","18,5",17–36
66,Курская область,"1,5","14,5",19–38
67,Карачаево-Черкесская Республика,"1,5","27,4",14–30
68,Пензенская область,"1,4","16,9",18–37
69,Республика Ингушетия,"1,4","24,8",15–30
70,Чувашская Республика,"1,4","19,3",17–34
71,Курганская область,"1,3","19,4",17–36
72,Республика Калмыкия,"1,3","20,4",16–33
73,Алтайский край,"1,3","19,4",16–35
74,Республика Адыгея,"1,2","19,1",17–35
75,Республика Марий Эл,"1,2","20,9",16–35
76,Брянская область,"1,2","21,3",16–36
77,Республика Дагестан,"1,2","29,1",14–31
78,Тамбовская область,"1,1","19,7",17–34
79,Чеченская Республика,"1,1","26,6",14–32
80,Орловская область,"1,1","17,3",17–34
81,Кировская область,"1,1",17,18–37
82,Псковская область,"1,1","18,4",17–35
83,Ивановская область,1,"21,2",16–33
84,Кабардино-Балкарская Республика,1,"26,2",15–31
85,Республика Мордовия,1,"18,6",17–33
