СУБЪЕКТЫ  ФЕДЕРАЦИИ,численность 2017,численность 2018,на 100к человек 2017,на 100к человек 2018
Российская Федерация,48264,48904,"16,1","16,31"
Центральный федеральный округ,12447,12711,"17,75","18,13"
Белгородская область,403,360,"14,01","12,51"
Брянская область,367,350,"16,08","15,34"
Владимирская область,382,374,"15,13","14,82"
Воронежская область,676,692,"16,7","17,1"
Ивановская область,418,413,"22,65","22,38"
Калужская область,243,245,"13,06","13,16"
Костромская область,197,190,"15,1","14,57"
Курская область,327,341,"15,77","16,44"
Липецкая область,275,264,"12,69","12,19"
Московская область,2356,2435,"16,35","16,9"
Орловская область,177,179,13,"13,15"
Рязанская область,348,345,"17,82","17,66"
Смоленская область,331,336,"20,18","20,48"
Тамбовская область,241,246,"13,88","14,17"
Тверская область,390,407,"16,42","17,14"
Тульская область,334,332,"13,56","13,48"
Ярославская область,531,539,"22,14","22,47"
город Москва,4451,4663,"21,4","22,42"
Северо-Западный федеральный округ,4872,4955,"18,77","19,09"
Республика Карелия,209,209,"16,54","16,54"
Республика Коми,324,324,"17,22","17,22"
Архангельская область без автономного округа,426,424,"18,56","18,48"
Ненецкий автономный округ,16,17,"13,29","14,12"
Вологодская область,330,326,"13,21","13,05"
Калининградская область,264,261,"13,65","13,5"
Ленинградская область,408,425,"13,27","13,82"
Мурманская область,238,232,"15,32","14,93"
Новгородская область,170,166,"14,45","14,11"
Псковская область,145,140,"12,45","12,03"
город Санкт - Петербург,2342,2431,"26,05","27,04"
Южный федеральный округ,4920,4981,"15,02","15,21"
Республика Адыгея,105,109,"10,78","11,19"
Республика Калмыкия,107,105,"16,17","15,86"
Республика Крым,544,540,"14,48","14,37"
Краснодарский край,1582,1653,"13,68","14,3"
Астраханская область,469,463,"20,7","20,44"
Волгоградская область,791,819,"16,48","17,06"
Ростовская область,1209,1178,"15,27","14,88"
город Севастополь,113,114,"13,95","14,08"
Северо-Кавказский федеральный округ,3102,3138,"11,74","11,87"
Республика Дагестан,1072,1100,"12,09","12,41"
Республика Ингушетия,199,202,"12,69","12,88"
Кабардино-Балкарская Республика,291,295,"14,06","14,25"
Карачаево-Черкесская Республика,135,125,"12,63","11,7"
Республика Северная Осетия - Алания,328,333,"20,02","20,32"
Чеченская Республика,324,330,"6,01","6,12"
Ставропольский край,753,753,"12,91","12,91"
Приволжский федеральный округ,9922,9946,"16,47","16,51"
Республика Башкортостан,1384,1370,"15,19","15,04"
Республика Марий Эл,218,219,"14,77","14,83"
Республика Мордовия,284,277,"20,87","20,36"
Республика Татарстан,1212,1250,"14,66","15,12"
Удмуртская Республика,711,688,"20,78","20,11"
Чувашская Республика,422,420,"16,27","16,2"
Пермский край,1151,1162,"19,65","19,84"
Кировская область,436,437,"17,15","17,19"
Нижегородская область,979,984,"16,29","16,37"
Оренбургская область,704,701,"16,1","16,04"
Пензенская область,397,395,"16,94","16,86"
Самарская область,934,944,"15,42","15,58"
Саратовская область,721,720,"15,81","15,78"
Ульяновская область,369,379,"16,31","16,76"
Уральский федеральный округ,3900,3916,"14,15","14,21"
Курганская область,172,166,"9,53","9,19"
Свердловская область,1107,1099,"12,04","11,95"
Тюменская область без автономного округа,572,606,"16,37","17,34"
Ханты-Мансийский АО,758,775,"18,02","18,42"
Ямало-Hенецкий АО,274,274,"19,18","19,18"
Челябинская область,1017,996,"13,69","13,41"
Сибирский федеральный округ,6655,6092,"15,36","16,02"
Республика Алтай,91,89,"13,57","13,27"
Республика Тыва,178,171,"14,84","14,26"
Республика Хакасия,174,171,"13,5","13,27"
Алтайский край,737,724,"14,93","14,66"
Красноярский край,983,1024,"15,74","16,39"
Иркутская область,804,828,14,"14,42"
Кемеровская область,821,829,"14,1","14,24"
Новосибирская область,1078,1092,"18,98","19,23"
Омская область,677,708,"16,25","16,99"
Томская область,431,456,"19,04","20,15"
Дальневосточный федеральный округ,2318,3032,"17,28","16,18"
Республика Бурятия,299,300,"11,38","11,42"
Республика Саха (Якутия),446,454,"16,88","17,18"
Забайкальский край,382,382,"14,19","14,19"
Камчатский край,132,136,"20,21","20,82"
Приморский край,605,616,"16,16","16,45"
Хабаровский край,505,522,"18,5","19,12"
Амурская область,288,291,"16,02","16,19"
Магаданская область,63,65,"20,91","21,57"
Сахалинская область,201,192,"19,2","18,34"
Еврейская автономная область,53,50,"14,2","13,4"
Чукотский автономный округ,25,24,"19,81","19,02"
