,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,temperature_10,temperature_11,temperature_12,city
4,-10.4,-9.9,-5.5,-0.9,4.0,9.4,12.8,11.2,6.9,1.4,-5.0,-8.5,Мурманск
6,-13.0,-11.5,-5.4,0.3,6.9,13.1,16.0,13.0,8.1,2.1,-5.1,-9.6,Архангельск
11,-9.4,-9.3,-3.8,2.1,8.6,13.9,16.6,14.4,9.3,3.9,-2.8,-6.5,Петрозаводск
22,-14.4,-12.4,-5.3,1.6,8.4,14.6,17.2,13.4,7.9,1.3,-7.1,-11.3,Сыктывкар
37,-38.9,-33.6,-20.6,-5.0,7.3,16.1,19.4,15.1,6.0,-8.4,-27.5,-37.4,Якутск
44,-16.3,-15.2,-11.4,-4.6,1.8,7.8,11.6,12.0,7.3,-1.0,-10.1,-15.3,Магадан
47,-5.7,-6.1,-1.4,4.8,11.1,15.8,18.5,16.8,11.5,6.1,-0.1,-3.5,Санкт-Петербург
48,-5.3,-6.1,-1.2,5.9,12.2,16.0,18.0,16.3,11.0,5.8,-0.2,-3.7,Псков
51,-1.8,-1.4,1.8,7.0,12.4,15.5,17.8,17.4,13.0,8.4,3.1,-0.0,Калининград
53,-6.3,-7.0,-1.7,6.0,12.4,15.9,17.6,16.2,10.8,5.2,-1.3,-5.0,Смоленск
57,-11.0,-10.3,-4.2,3.4,10.4,15.0,17.3,14.5,9.0,3.2,-4.1,-8.1,Вологда
58,-11.7,-10.8,-4.2,3.9,11.3,16.3,18.6,15.4,9.6,2.7,-5.6,-9.7,Киров
60,-10.5,-10.4,-4.4,4.9,13.2,17.7,19.9,17.3,11.4,4.6,-3.9,-8.6,Казань
61,-6.6,-6.9,-1.3,6.4,13.1,17.0,18.9,16.8,11.2,5.4,-1.6,-5.3,Москва
68,-12.5,-11.9,-5.4,3.2,11.6,16.6,18.7,15.7,10.0,3.1,-5.6,-10.0,Ижевск
73,-14.9,-13.2,-7.5,2.3,11.0,16.0,18.1,15.9,10.6,3.5,-6.6,-11.9,Петропавловск
74,-16.1,-14.6,-7.6,3.3,12.6,17.9,19.6,16.7,10.5,3.4,-7.7,-13.5,Омск
75,-12.4,-11.8,-5.5,4.9,13.2,17.8,19.5,16.9,11.2,4.4,-4.7,-10.5,Уфа
80,-16.9,-14.1,-7.2,1.0,10.4,16.0,18.7,15.6,9.0,1.5,-8.5,-14.4,Томск
83,-15.1,-13.1,-6.9,3.5,12.9,17.9,19.9,17.3,11.1,3.6,-6.6,-12.4,Барнаул
92,-25.3,-19.0,-9.0,1.3,9.6,16.3,18.6,15.9,8.6,-0.5,-12.9,-21.9,Чита
93,-23.3,-17.7,-7.5,2.3,10.6,17.0,19.7,17.1,9.5,0.6,-10.3,-19.3,Улан-Удэ
100,-20.4,-15.6,-6.7,4.5,12.3,18.0,21.2,19.8,13.5,4.8,-7.5,-17.4,Хабаровск
104,-12.4,-8.3,-1.8,5.0,9.8,13.5,17.5,19.7,15.9,8.8,-0.9,-9.0,Владивосток
119,0.2,0.2,3.8,9.7,15.2,19.3,22.2,21.7,16.5,11.1,5.9,2.0,Симферополь
122,-6.4,-6.6,-1.3,7.3,14.3,17.5,19.1,18.2,12.5,6.3,-1.1,-5.0,Курск
123,-5.9,-6.9,-1.2,8.0,14.8,18.4,20.1,18.8,13.1,6.7,-1.1,-4.8,Воронеж
124,-7.6,-8.0,-2.7,7.9,15.7,20.2,22.3,20.5,14.4,6.9,-1.3,-6.1,Саратов
128,-3.6,-3.6,2.0,11.1,17.6,22.9,25.4,23.9,17.6,10.2,3.2,-1.9,Астрахань
129,-11.6,-11.6,-5.6,6.6,15.2,20.2,22.0,20.0,13.9,5.8,-3.7,-9.5,Оренбург
