,city,num_terapevts,num_terapevts_100k_peaple
0,Челябинск,1126,4.09
1,Орел,1094,5.89
2,Норильск,1343,5.96
3,Хабаровск,885,4.84
4,Кемерово,922,4.36
5,Новосибирск,1356,6.11
6,Омск,877,5.68
7,Томск,568,6.67
8,Улан-Удэ,483,6.69
9,Якутск,703,10.04
10,Владивосток,655,4.26
11,Магадан,81,7.11
12,Южно-Сахалинск,269,6.98
13,Биробиджан,55,4.41
14,Белгород,492,5.01
15,Владимир,490,4.35
16,Липецк,385,4.12
17,Смоленск,412,5.25
18,Тверь,442,4.22
19,Тула,574,4.61
20,Ярославль,650,6.34
21,Петрозаводск,338,6.81
22,Сыктывкар,406,6.22
23,Вологда,276,2.98
24,Калининград,349,4.36
25,Самара,597,3.96
26,Мурманск,238,3.98
27,Великий Новгород,257,5.26
28,Псков,184,3.54
29,Симферополь,579,3.76
30,Краснодар,2166,4.87
31,Волгоград,1041,5.1
32,Ростов-на-Дону,1410,4.11
33,Брянск,1342,6.16
34,Владикавказ,456,8.48
35,Ставрополь,968,4.37
36,Чита,1109,3.62
37,Ижевск,835,7.13
38,Чебоксары,395,4.06
39,Петропавловск,1059,5.2
40,Астрахань,618,6.01
41,Нижний Новгород,1318,5.0
42,Оренбург,996,6.47
43,Пенза,355,3.24
44,Саратов,1079,5.38
45,Ульяновск,639,6.26
46,Екатеринбург,1196,3.51
