,POP_TOTAL,2017 год,2018 год,2019 год,2017_quality,2018_quality,2019_quality,city,sqr_km,habbit_rate,perc_more_100k,percent_less_15k,most_common,"Средняя годовая температура, °C","Температура самого холодного месяца, °C","Температура трёх самых холодных месяцев, °C","Температура самого тёплого месяца, °C","Температура трёх самых тёплых месяцев, °C","Абсолютный минимум,","Абсолютный максимум, °C","Среднее годовое количество осадков, мм",num_terapevts,num_terapevts_100k_peaple,num_pediators,num_pediators_100k_peaple,Плотность
0,591400,Н,Н,Н,1.0,1.0,1.0,Ярославль,205.8,47.6,2.1,13.4,20–42,1.3,-12.8,-11.3,16.3,14.1,-45.2,34.4,,650.0,6.34,539.0,22.47,2873.6637512147718
1,357409,Н,П,П,1.0,2.0,2.0,Архангельск,294.42,55.5,7.5,2.3,26–59,5.0,-10.3,-9.5,20.2,18.8,-40.0,39.3,607.0,,,,,1213.9426669383872
2,642263,Н,Н,П,1.0,1.0,2.0,Ульяновск,300.0,73.6,1.6,17.0,18–36,0.6,-10.0,-9.3,12.9,11.1,-39.4,32.9,470.0,639.0,6.26,379.0,16.76,2140.8766666666666
3,309150,Н,Н,Н,1.0,1.0,1.0,Мурманск,154.6,36.1,13.0,0.5,32–70,3.1,-10.8,-9.7,17.5,15.8,-47.1,36.4,494.0,238.0,3.98,232.0,14.93,1999.6765847347997
4,316614,Н,Н,Н,1.0,1.0,1.0,Вологда,115.73,55.6,3.6,9.0,22–49,3.5,-12.9,-10.9,18.8,17.3,-44.3,39.9,565.0,276.0,2.98,326.0,13.05,2735.79884213255
5,473895,Н,Н,Н,1.0,1.0,1.0,Чебоксары,110.0,50.1,3.8,8.5,,9.2,-1.9,-1.4,20.6,19.6,-27.8,39.2,499.0,395.0,4.06,420.0,16.2,4308.136363636364
6,325477,П,В,П,2.0,3.0,2.0,Владикавказ,290.61,76.1,2.9,10.2,,-1.4,-25.1,-22.1,18.7,17.0,-49.6,40.6,929.0,456.0,8.48,333.0,20.32,1119.9786655655346
7,537472,В,П,П,3.0,2.0,2.0,Рязань,224.163,54.8,3.9,9.3,,1.8,-16.1,-14.7,19.2,17.5,-45.0,37.2,,,,,,2397.683828285667
8,549159,В,В,В,3.0,3.0,3.0,Кемерово,294.8,50.2,1.1,17.0,22–49,5.3,-11.8,-10.9,22.3,21.1,-43.2,41.6,,922.0,4.36,829.0,14.24,1862.8188602442333
9,308157,ОВ,ОВ,ОВ,4.0,4.0,4.0,Чита,534.0,65.2,1.8,15.6,22–45,10.5,-3.7,-3.1,25.6,24.2,-37.7,41.0,350.0,1109.0,3.62,1250.0,15.12,577.0730337078652
10,1567087,П,В,П,2.0,3.0,2.0,Новосибирск,506.67,46.6,9.0,3.6,22–47,6.5,-6.2,-5.8,19.6,18.6,-35.3,38.8,448.0,1356.0,6.11,1092.0,19.23,3092.914520299209
11,560046,Н,П,Н,1.0,2.0,1.0,Оренбург,259.0,70.0,2.3,16.9,,9.9,-3.1,-2.6,23.3,22.3,-31.9,40.1,364.0,996.0,6.47,701.0,16.04,2162.3397683397684
12,532699,П,В,В,2.0,3.0,3.0,Астрахань,208.69,40.1,8.0,7.0,18–37,3.8,-12.6,-11.6,19.6,18.3,-48.5,38.6,233.0,618.0,6.01,437.0,17.19,2552.585174181801
13,358037,Н,Н,Н,1.0,1.0,1.0,Симферополь,107.41,99.2,1.2,29.1,19–38,6.1,-6.1,-5.7,19.0,17.8,-35.0,38.4,,579.0,3.76,540.0,14.37,3333.367470440369
14,319550,Н,Н,Н,1.0,1.0,1.0,Орел,120.0,45.9,3.1,10.1,,2.7,-12.8,-11.8,18.7,16.8,-47.1,37.2,,1094.0,5.89,724.0,14.66,2662.9166666666665
15,449948,В,В,Н,3.0,3.0,1.0,Курск,208.2,63.9,2.9,10.4,25–62,2.4,-19.9,-17.6,21.3,19.8,-41.4,35.7,648.0,,,,,2161.1335254562923
16,1109835,В,В,В,3.0,3.0,3.0,Ростов-на-Дону,348.5,75.3,3.5,12.0,19–40,5.5,-7.7,-6.9,19.0,17.7,-36.1,39.2,643.0,1410.0,4.11,1178.0,14.88,3184.605451936872
17,1106635,Н,Н,Н,1.0,1.0,1.0,Уфа,700.0,47.9,6.0,6.2,26–60,4.8,-8.9,-8.3,19.4,17.9,-41.4,38.3,589.0,,,,,1580.9071428571428
18,407060,Н,Н,Н,1.0,1.0,1.0,Брянск,186.43,43.1,18.9,1.3,14–31,5.6,-10.1,-9.4,21.4,20.1,-43.0,40.4,671.0,1342.0,6.16,1100.0,12.41,2183.446870138926
19,1078370,П,Н,Н,2.0,1.0,1.0,Пермь,801.44,70.7,2.3,12.6,22–46,3.1,-11.9,-10.9,18.9,17.0,-45.2,36.9,657.0,,,,,1345.5405270513077
20,607216,П,П,Н,2.0,2.0,1.0,Хабаровск,388.735,69.3,1.4,16.9,,2.6,-15.5,-14.0,19.9,18.3,-48.2,38.3,684.0,885.0,4.84,828.0,14.42,1562.0306892870465
21,552362,Н,Н,Н,1.0,1.0,1.0,Тула,153.52,76.7,1.2,21.3,22–44,5.2,-9.3,-8.6,19.9,18.6,-45.0,41.0,614.0,574.0,4.61,332.0,13.48,3597.980719124544
22,1266453,Н,Н,Н,1.0,1.0,1.0,Нижний Новгород,410.68,66.3,2.3,14.0,21–45,-8.8,-38.6,-36.7,19.5,17.0,-64.4,38.4,648.0,1318.0,5.0,984.0,16.37,3083.79516898802
23,1181940,Н,П,П,1.0,2.0,2.0,Самара,541.382,79.8,1.8,20.5,27–56,6.9,-8.1,-7.4,22.4,21.1,-37.3,40.9,557.0,597.0,3.96,425.0,13.82,2183.190427461571
24,512323,Н,Н,Н,1.0,1.0,1.0,Киров,169.73,36.5,10.0,1.7,38–89,1.3,-14.2,-12.8,17.5,15.3,-46.6,35.3,676.0,,,,,3018.458728568904
25,388709,Н,Н,Н,1.0,1.0,1.0,Севастополь,183.0,15.0,27.3,0.3,21–42,-2.7,-16.4,-15.6,12.0,10.5,-34.6,26.0,,,,,,2124.092896174863
26,695731,ОВ,ОВ,В,4.0,4.0,3.0,Барнаул,322.01,28.9,3.7,3.6,,3.0,-12.4,-11.6,19.0,17.3,-47.5,37.0,431.0,,,,,2160.588180491289
27,520392,Н,Н,Н,1.0,1.0,1.0,Пенза,305.1,18.1,21.9,0.4,18–37,2.8,-12.2,-10.8,17.3,15.3,-36.2,37.1,521.0,355.0,3.24,395.0,16.86,1705.6440511307767
28,177326,ОВ,ОВ,ОВ,4.0,4.0,4.0,Норильск,23.16,58.3,4.6,1.9,,3.1,-9.3,-8.5,17.0,15.1,-41.6,33.9,,1343.0,5.96,1024.0,16.39,7656.563039723662
29,378240,Н,Н,Н,1.0,1.0,1.0,Белгород,160.6,57.4,2.7,15.4,16–36,2.1,-16.3,-15.0,19.6,18.2,-45.5,40.4,,492.0,5.01,350.0,15.34,2355.168119551681
30,510152,П,Н,Н,2.0,1.0,1.0,Липецк,330.15,79.0,1.7,18.6,20–42,9.3,-2.9,-1.9,22.0,20.9,-27.8,39.7,,385.0,4.12,264.0,12.19,1545.2127820687567
31,325241,П,П,Н,2.0,2.0,1.0,Якутск,120.0,46.2,13.5,2.2,,5.8,-5.8,-5.0,18.8,17.2,-35.9,37.1,237.0,703.0,10.04,454.0,17.18,2710.3416666666667
32,840785,П,П,П,2.0,2.0,2.0,Саратов,393.975,53.1,3.9,9.2,17–37,3.0,-12.6,-11.5,19.0,17.4,-46.7,38.8,476.0,1079.0,5.38,720.0,15.78,2134.107494130338
33,258708,Н,Н,Н,1.0,1.0,1.0,Сыктывкар,152.0,56.4,6.0,2.1,28–67,0.9,-17.9,-16.0,18.2,16.5,-49.7,37.2,621.0,406.0,6.22,324.0,17.22,1702.0263157894738
34,101045,Н,Н,Н,1.0,1.0,1.0,Магадан,295.0,77.9,2.6,13.3,47–113,11.9,0.3,1.1,24.0,22.9,-33.7,40.0,559.0,81.0,7.11,65.0,21.57,342.5254237288136
35,74777,П,В,П,2.0,3.0,2.0,Биробиджан,169.38,25.4,3.4,4.6,23–53,-0.1,-23.4,-20.2,19.8,17.9,-54.4,40.0,,55.0,4.41,50.0,13.4,441.4747904120912
36,664626,П,Н,Н,2.0,1.0,1.0,Ижевск,315.6,54.4,31.6,1.2,,5.8,-6.7,-6.1,19.2,17.7,-42.1,38.2,510.0,835.0,7.13,688.0,20.11,2105.912547528517
37,181015,,,,,,,Петропавловск,224.9,60.7,2.3,17.0,,5.1,-7.6,-7.0,18.8,17.2,-44.0,38.8,,1059.0,5.2,1162.0,19.84,804.8688305913739
