,2017 год,2018 год,2019 год,2017_quality,2018_quality,2019_quality,city,sqr_km,habbit_rate,perc_more_100k,percent_less_15k,most_common,"Средняя годовая температура, °C","Температура самого холодного месяца, °C","Температура трёх самых холодных месяцев, °C","Температура самого тёплого месяца, °C","Температура трёх самых тёплых месяцев, °C","Абсолютный минимум,","Абсолютный максимум, °C","Среднее годовое количество осадков, мм"
0,Н,П,Н,1,2,1,Оренбург,259.0,,,,,"5,3","−11,8","−10,9","22,3","21,1","−43,2","41,6",364.0
1,ОВ,ОВ,ОВ,4,4,4,Иркутск,277.35,"56,4",6,"2,1",26–57,"0,9","−17,9","−16,0","18,2","16,5","−49,7","37,2",477.0
2,В,Н,Н,3,1,1,Великий Новгород,90.08,"66,9",2,"13,2",20–40,,,,,,,,
3,Н,Н,Н,1,1,1,Калининград,223.0,"49,2",3,"10,8",21–44,"7,9","−1,5","−1,0","18,1","17,1","−33,3","36,5",818.0
4,Н,Н,Н,1,1,1,Киров,169.73,"43,1","18,9","1,3",38–89,"3,1","−11,9","−10,9","18,9",17,"−45,2","36,9",676.0
5,Н,Н,Н,1,1,1,Омск,566.9,"57,4","2,7","15,4",19–41,"2,1","−16,3","−15,0","19,6","18,2","−45,5","40,4",415.0
6,П,В,П,2,3,2,Новосибирск,506.67,"54,8","3,9","9,3",22–47,"1,8","−16,1","−14,7","19,2","17,5","−45,0","37,2",448.0
7,Н,Н,Н,1,1,1,Тула,153.52,"63,9","2,9","10,4",22–44,"5,5","−7,7","−6,9",19,"17,7","−36,1","39,2",614.0
8,Н,Н,Н,1,1,1,Ярославль,205.8,"47,6","2,1","13,4",20–42,,,,,,,,
9,П,Н,Н,2,1,1,Ижевск,315.6,,,,,3,"−12,4","−11,6",19,"17,3","−47,5",37,510.0
10,ОВ,ОВ,ОВ,4,4,4,Улан-Удэ,377.12,"25,4","3,4","4,6",21–48,"−0,1","−23,4","−20,2","19,8","17,9","−54,4",40,265.0
11,Н,Н,Н,1,1,1,Уфа,700.0,"40,1",8,7,26–60,"3,8","−12,6","−11,6","19,6","18,3","−48,5","38,6",589.0
12,П,В,П,2,3,2,Биробиджан,169.38,"28,9","3,7","3,6",23–53,,,,,,,,
13,П,В,П,2,3,2,Владикавказ,290.61,,,,,"9,2","−1,9","−1,4","20,6","19,6","−27,8","39,2",929.0
14,В,В,Н,3,3,1,Курск,208.2,"46,6",9,"3,6",25–62,"6,5","−6,2","−5,8","19,6","18,6","−35,3","38,8",648.0
15,П,Н,Н,2,1,1,Томск,297.2,53,"6,3","3,9",25–55,"0,9","−17,1","−15,6","18,7","16,7","−55,0","35,1",568.0
16,ОВ,ОВ,ОВ,4,4,4,Чита,534.0,"76,1","2,9","10,2",22–45,"−1,4","−25,1","−22,1","18,7",17,"−49,6","40,6",350.0
17,ОВ,ОВ,В,4,4,3,Красноярск,353.9,67,"2,5","15,2",19–42,"1,6","−15,5","−13,9","18,7","16,8","−52,8","36,4",491.0
18,Н,Н,Н,1,1,1,Орел,120.0,,,,,,,,,,,,
19,Н,Н,Н,1,1,1,Псков,95.6,"62,4","1,1","18,4",17–35,"5,9","−5,7","−4,9","18,3","16,9","−40,6","35,6",702.0
20,Н,Н,Н,1,1,1,Симферополь,107.41,"65,2","1,8","15,6",19–38,,,,,,,,
21,Н,Н,Н,1,1,1,Петрозаводск,113.0,"58,3","4,6","1,9",25–51,"3,1","−9,3","−8,5",17,"15,1","−41,6","33,9",611.0
22,Н,Н,Н,1,1,1,Волгоград,859.353,"81,4","1,6","16,3",18–39,"8,1","−6,7","−5,9","23,5","22,2","−32,6","41,1",347.0
23,П,П,П,2,2,2,Казань,614.16,,,,,"4,6","−10,4","−9,7","20,2","18,7","−46,8",39,558.0
